"","TOP.STATUS","MEREK","MODEL","TAHUN","TRANSMISI","TYPE","HARGA.PANDUAN","HARGA.TERENDAH","HARGA.TERTINGGI","POOL.LEADER"
"1","MEDIUM","CHEVROLET","CAPTIVA",2018,"AUTOMATIC","2.0 LS FWD SOLAR",305000000,292000000,378500000,302000000
"2","MEDIUM","CHEVROLET","CAPTIVA",2018,"AUTOMATIC","2.0 LT AWD SOLAR",350000000,339500000,439500000,349500000
"3","MEDIUM","CHEVROLET","CAPTIVA",2018,"AUTOMATIC","2.0 LTZ FWD SOLAR",320000000,302500000,392000000,312500000
"4","MEDIUM","CHEVROLET","CAPTIVA",2017,"AUTOMATIC","2.0 LTZ SOLAR",250000000,235000000,304000000,245000000
"5","MEDIUM","CHEVROLET","CAPTIVA",2016,"AUTOMATIC","2.0 SOLAR",200000000,193500000,251000000,203500000
"6","MEDIUM","CHEVROLET","CAPTIVA",2016,"AUTOMATIC","2.4 BENSIN",180000000,170500000,222000000,180500000
"7","MEDIUM","CHEVROLET","CAPTIVA",2016,"AUTOMATIC","2.4 SOLAR",200000000,189500000,245500000,199500000
"8","MEDIUM","CHEVROLET","CAPTIVA",2015,"AUTOMATIC","2.0 BENSIN",240000000,227500000,311000000,237500000
"9","MEDIUM","CHEVROLET","CAPTIVA",2015,"AUTOMATIC","2.0 SOLAR",195000000,181000000,234500000,191000000
"10","MEDIUM","CHEVROLET","CAPTIVA",2015,"AUTOMATIC","2.4 BENSIN",170000000,158500000,206000000,168500000
"11","MEDIUM","CHEVROLET","CAPTIVA",2015,"AUTOMATIC","2.4 SOLAR",160000000,146000000,190000000,156000000
"12","MEDIUM","CHEVROLET","CAPTIVA",2014,"AUTOMATIC","2.0 4WD SOLAR",140000000,125500000,125500000,135500000
"13","MEDIUM","CHEVROLET","CAPTIVA",2014,"AUTOMATIC","2.0 BENSIN",175000000,162000000,210500000,172000000
"14","MEDIUM","CHEVROLET","CAPTIVA",2014,"AUTOMATIC","2.0 SOLAR",160000000,146500000,190000000,156500000
"15","MEDIUM","CHEVROLET","CAPTIVA",2014,"AUTOMATIC","2.4 BENSIN",130000000,119000000,155000000,129000000
"16","MEDIUM","CHEVROLET","CAPTIVA",2013,"MANUAL","2.0 BENSIN",145000000,142500000,195000000,147500000
